,Powierzchnia,Piętro,room_count,lat,lng,Ludnosc,age,balkon,taras,Winda,Miejsce_parkingowe,Materiał_budynku,Stan_wykończenia,Rodzaj_zabudowy,price
151,60.0,0.0,3.0,50.0512159,19.9284571,141070.0,13.0,0.0,1.0,0,0,1,1,0,3800.0
152,36.0,1.0,2.0,50.2279036,18.9718153,261379.0,2.0,1.0,0.0,1,1,1,0,0,2200.0
153,45.0,3.0,2.0,52.238025,21.0075571,90327.38888888888,63.0,1.0,0.0,1,1,0,0,0,3000.0
154,60.0,0.0,2.0,50.01628669999999,19.0967092,15324.42857142857,43.0,0.0,1.0,0,0,0,0,0,1300.0
155,40.0,3.0,1.0,52.2085394,20.9100773,90327.38888888888,14.0,0.0,1.0,1,0,0,0,0,2000.0
156,53.0,5.0,2.0,52.1291577,21.0715129,90327.38888888888,26.0,0.0,0.0,0,1,0,0,0,2500.0
157,90.0,3.0,4.0,49.7962645,19.0028474,156307.0,14.0,0.0,0.0,0,1,1,1,1,3650.0
158,49.0,5.0,2.0,52.4156031,16.9056148,93138.2,2.0,1.0,0.0,1,0,0,0,0,2400.0
159,49.0,3.0,2.0,52.2333751,20.9571835,90327.38888888888,20.0,0.0,0.0,1,0,0,0,0,4300.0
160,42.0,2.0,2.0,54.3841226,18.5927027,420796.0,6.0,1.0,0.0,1,1,0,0,0,2800.0
161,84.44,0.0,4.0,49.9866362,19.9192007,141070.0,1.0,1.0,1.0,0,0,0,0,0,3950.0
162,42.3,7.0,2.0,54.3825278,18.5916236,420796.0,6.0,1.0,0.0,1,1,1,0,0,2800.0
163,90.0,8.0,3.0,52.257769,20.9945254,90327.38888888888,17.0,1.0,0.0,1,0,1,0,0,4500.0
164,115.0,1.0,3.0,52.401359,16.8998915,93138.2,15.0,1.0,0.0,0,1,0,0,0,4000.0
165,54.0,2.0,3.0,50.0960902,19.8962645,141070.0,10.0,1.0,0.0,0,0,0,0,0,3000.0
166,22.0,6.0,1.0,52.1888245,20.9927801,90327.38888888888,20.0,1.0,0.0,1,1,1,0,0,2200.0
