,Powierzchnia,Czynsz,Liczba pokoi,Kaucja,Piętro,Rodzaj zabudowy,Dostępne od,balkon,ogród,taras,Obsługa zdalna,Stan wykończenia,Typ ogłoszeniodawcy,Wynajmę również studentom,Wyposażenie,Media,Ogrzewanie,Zabezpieczenia,Okna,Winda,Miejsce parkingowe,Rok budowy,Materiał budynku,Informacje dodatkowe,is_adverb,link,localisation,price,room_count,space_sm,representative,lat,lng,powiat,Ludnosc
37,35.0,-1.0,2.0,2900.0,2.0,blok,2022-06-02,1,0,0,,do zamieszkania,biuro nieruchomości ,,meble,,miejskie,domofon / wideofon,plastikowe,tak,,1965.0,inne,,False,/pl/oferta/zamieszkaj-i-poczuj-klimat-warszawy-ID4h104,"Warszawa, Wola, al. Jana Pawła II",2900.0,2.0,35.0,Biuro nieruchomości,52.2452495,20.9908202,Warszawa,90327.38888888889
38,56.0,500.0,2.0,6600.0,4.0,apartamentowiec,,0,0,1,tak,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2013.0,Materiał_budynku_inne,,False,/pl/oferta/mieszkanie-w-wysokim-standardzie-przy-palacu-ID479qU,"Pruszków, pruszkowski, mazowieckie",2800.0,2.0,56.0,Oferta prywatna,52.1704725,20.8118862,Pruszkowski,22394.0
39,40.0,500.0,2.0,4500.0,8.0,apartamentowiec,,1,0,1,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet, telefon",miejskie,"teren zamknięty, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2015.0,cegła,tylko dla niepalących,False,/pl/oferta/mieszkanie-2-pokojowe-wola-ul-ordona-ID4gVxU,"Warszawa, Wola, Odolany",3000.0,2.0,40.0,Oferta prywatna,52.2197139,20.9428669,Warszawa,90327.38888888889
40,45.0,600.0,2.0,7000.0,3.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"teren zamknięty, domofon / wideofon, monitoring / ochrona",plastikowe,tak,garaż/miejsce parkingowe,2020.0,Materiał_budynku_inne,,False,/pl/oferta/nowe-i-przytulne-mieszkanie-2-pokojowe-waw-wlochy-ID4gIus,"Warszawa, Włochy, Nowe Włochy, Pola Karolińskie",3000.0,2.0,45.0,Oferta prywatna,52.2080751,20.8917829,Warszawa,90327.38888888889
41,34.51,200.0,2.0,3000.0,4.0,apartamentowiec,2019-08-01,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka",,,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",,tak,,2019.0,Materiał_budynku_inne,pom. użytkowe,False,/pl/oferta/mieszkanie-2-pokojowe-z-komorka-lok-ul-pilska-ID422PH,"Września, wrzesiński, wielkopolskie",1350.0,2.0,34.51,Oferta prywatna,52.32382,17.56654,Wrzesiński,7466.8
42,29.0,-1.0,1.0,-1.0,1.0,apartamentowiec,,1,0,0,,do zamieszkania,biuro nieruchomości ,,meble,internet,miejskie,monitoring / ochrona,plastikowe,tak,,2018.0,Materiał_budynku_inne,,False,/pl/oferta/studio-taras-przy-wisle-29m2-ID4h13A,"Kraków, Grzegórzki, Grzegórzecka",2300.0,1.0,29.0,Biuro nieruchomości,50.0569787,19.9603504,Kraków,141070.0
43,55.0,300.0,3.0,2500.0,2.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",gazowe,"teren zamknięty, domofon / wideofon",plastikowe,nie,,2010.0,cegła,pom. użytkowe,False,/pl/oferta/3-pokojowe-mieszkanie-na-podolanach-ID49BpI,"Poznań, Jeżyce, Podolany, ul. Strzeszyńska",2500.0,3.0,55.0,Oferta prywatna,52.4577084,16.8783662,Poznań,93138.2
44,79.1,650.0,3.0,12000.0,2.0,apartamentowiec,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,,"teren zamknięty, domofon / wideofon, monitoring / ochrona",,nie,garaż/miejsce parkingowe,2014.0,Materiał_budynku_inne,tylko dla niepalących,False,/pl/oferta/mieszkanie-warszawa-bielany-niedzielskiego-79-m-ID4g7ll,"Warszawa, Bielany, ul. płk. Mieczysława Niedzielskiego",6000.0,3.0,79.1,Oferta prywatna,52.2685684,20.9415198,Warszawa,90327.38888888889
45,38.0,500.0,2.0,4000.0,3.0,apartamentowiec,2022-07-01,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,miejskie,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",plastikowe,tak,garaż/miejsce parkingowe,2020.0,cegła,,False,/pl/oferta/bliska-wola-metro-plocka-ciche-ID44S4j,"Warszawa, Wola, ul. Syreny 4",3500.0,2.0,38.0,Oferta prywatna,52.233624,20.963145,Warszawa,90327.38888888889
46,34.0,-1.0,2.0,6000.0,6.0,apartamentowiec,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2020.0,cegła,"piwnica, tylko dla niepalących, pom. użytkowe",False,/pl/oferta/apartament-w-mennica-residence-grzybowska-od-1-07-ID4fn1g,"Warszawa, Śródmieście, Śródmieście Północne",3900.0,2.0,34.0,Oferta prywatna,52.23546349999999,21.0076736,Warszawa,90327.38888888889
